B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8
4.0500 1 8.60000000 1 0.9999999945 0.0000000169 0.0000000021 0.0000000021 0.0000000021 0.0000000012 0.0000000012 0.0000000011
4.1000 1 8.70000000 1 0.9999999945 0.0000000169 0.0000000022 0.0000000021 0.0000000021 0.0000000012 0.0000000012 0.0000000011
4.1500 1 8.80000000 1 0.9999999945 0.0000000170 0.0000000022 0.0000000022 0.0000000021 0.0000000012 0.0000000012 0.0000000011
4.2000 1 8.90000000 1 0.9999999945 0.0000000170 0.0000000022 0.0000000022 0.0000000021 0.0000000012 0.0000000012 0.0000000011
4.2500 1 9.00000000 1 0.9999999945 0.0000000170 0.0000000022 0.0000000022 0.0000000021 0.0000000012 0.0000000012 0.0000000011
4.3000 1 9.10000000 1 0.9999999945 0.0000000170 0.0000000022 0.0000000022 0.0000000022 0.0000000012 0.0000000012 0.0000000012
4.3500 1 9.20000000 1 0.9999999945 0.0000000170 0.0000000022 0.0000000022 0.0000000022 0.0000000012 0.0000000012 0.0000000012
4.4000 1 9.30000000 1 0.9999999945 0.0000000171 0.0000000022 0.0000000022 0.0000000022 0.0000000013 0.0000000012 0.0000000012
4.4500 1 9.40000000 1 0.9999999945 0.0000000171 0.0000000022 0.0000000022 0.0000000022 0.0000000013 0.0000000012 0.0000000012
4.5000 1 9.50000000 1 0.9999999944 0.0000000171 0.0000000022 0.0000000022 0.0000000022 0.0000000013 0.0000000012 0.0000000012
4.5500 1 9.60000000 1 0.9999999944 0.0000000171 0.0000000023 0.0000000023 0.0000000021 0.0000000013 0.0000000012 0.0000000012
4.6000 1 9.70000000 1 0.9999999944 0.0000000171 0.0000000023 0.0000000023 0.0000000021 0.0000000013 0.0000000012 0.0000000012
4.6500 1 9.80000000 1 0.9999999944 0.0000000172 0.0000000023 0.0000000023 0.0000000021 0.0000000013 0.0000000012 0.0000000012
4.7000 1 9.90000000 1 0.9999999944 0.0000000172 0.0000000023 0.0000000023 0.0000000021 0.0000000013 0.0000000013 0.0000000012
4.7500 1 10.00000000 1 0.9999999944 0.0000000172 0.0000000023 0.0000000023 0.0000000021 0.0000000013 0.0000000013 0.0000000012
4.8000 1 10.10000000 1 0.9999999944 0.0000000172 0.0000000024 0.0000000024 0.0000000021 0.0000000013 0.0000000013 0.0000000012
4.8500 1 10.20000000 1 0.9999999944 0.0000000172 0.0000000024 0.0000000024 0.0000000021 0.0000000013 0.0000000013 0.0000000013
4.9000 1 10.30000000 1 0.9999999943 0.0000000173 0.0000000024 0.0000000024 0.0000000021 0.0000000013 0.0000000013 0.0000000013
4.9500 1 10.40000000 1 0.9999999943 0.0000000173 0.0000000024 0.0000000024 0.0000000021 0.0000000013 0.0000000013 0.0000000013
5.0000 1 10.50000000 1 0.9999999943 0.0000000173 0.0000000025 0.0000000024 0.0000000021 0.0000000013 0.0000000013 0.0000000013
